libelle_organisation_niveau_07,employees,avg_sustainable_value_potential,avg_reliability_adjusted_potential,avg_absenteeism_risk,avg_learning_intensity,avg_kpi_reliability,high_absence_risk_share
Group Business Engineering,9,0.5027481782581664,0.33150546790988583,0.44047899489595604,0.6226945115945921,0.4259259259259259,0.2222222222222222
Sanctions Fraud Bribery & Ctrl,9,0.47927422971540423,0.36259317396661594,0.4400078523753435,0.6407355179514728,0.5,0.3333333333333333
Works Councils,9,0.39073771226526893,0.14009233774773672,0.3638741656851197,0.266809920315158,0.24074074074074073,0.4444444444444444
Labor relations & social policy,9,0.4919316454400856,0.3453999535468968,0.3793580683156655,0.5790245321873041,0.4444444444444444,0.1111111111111111
TA Compliance,9,0.40027876983142807,0.06736127645338616,0.0,0.0,0.1111111111111111,0.0
IT Custody & Cash Clearing,9,0.460745870399604,0.4151704205108329,0.4554426776599921,0.45223386158116213,0.5925925925925926,0.1111111111111111
IT Finance,9,0.3963898809425392,0.07729185956598755,0.0,0.0,0.12962962962962962,0.0
General Secretary & Controls,9,0.4249049084293337,0.1630314770430011,0.25188947781703963,0.1870691198853971,0.24074074074074073,0.2222222222222222
ED Forex,9,0.41972321427587245,0.08312519289932088,0.0,0.0,0.12962962962962962,0.0
Data management & Pillar 1,9,0.44699465243212977,0.2408840678890422,0.32316941499803686,0.2685446324648581,0.3333333333333333,0.1111111111111111
"PERES SECGEN, Contrl & Oversight",8,0.4638562091268414,0.18989495493082814,0.14354571554770318,0.3243855761482675,0.22916666666666666,0.0
IT 3D & Business Dev,8,0.4926713824881723,0.35837970904442396,0.4572438162544169,0.5139882151490733,0.47916666666666663,0.25
IT Risks & CRM,8,0.4179583545251215,0.12948392586869253,0.1511152826855124,0.18981668009669622,0.1875,0.125
FUND DISTRIBUTION,8,0.40476198631751265,0.0,0.0,0.0,0.0,0.0
Investment Management Services,8,0.41931056216148643,0.14846689359931942,0.20431757950530033,0.164308017727639,0.22916666666666666,0.25
Procurement,8,0.4762154489475775,0.3268540489609044,0.239747128975265,0.42951752618855765,0.4375,0.125
MDS Operational support,8,0.47261845366681665,0.36897170916398875,0.6397360865724382,0.7406829170024174,0.5208333333333334,0.375
Human Resources,7,0.45230445768511585,0.24112907972866585,0.24176552246340233,0.4038793599631633,0.3333333333333333,0.14285714285714285
Oversight,7,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
IT Execution & Clearing Services,7,0.5349145469801098,0.4011859102350823,0.4762178192831903,0.8507108322781167,0.5,0.42857142857142855
FUNDS NAV CALCULATION,7,0.4276457770887535,0.07364396281093023,0.0,0.057816277195809826,0.09523809523809523,0.0
Corporate Legal Affairs,6,0.5726235464828567,0.4531909498155278,0.43818462897526494,0.925513698630137,0.5277777777777778,0.0
Digital,6,0.4829474891227381,0.2495020354953077,0.2964811542991755,0.3549221058286329,0.3333333333333333,0.3333333333333333
Group Corporate Tax,6,0.4530959299872623,0.14357145146362152,0.12944640753828032,0.26213738920225627,0.16666666666666666,0.16666666666666666
Information System Security,6,0.41000099205365026,0.0697918320089417,0.0,0.0,0.1111111111111111,0.0
ED Securities Finance,6,0.4216676587203169,0.08906270667784379,0.0,0.0,0.13888888888888887,0.0
AML - CTF,6,0.39250099205365024,0.01635420800223543,0.0,0.0,0.027777777777777776,0.0
MASTER DATA SERVICES,6,0.4824998385193761,0.4824998385193761,0.20500588928150762,0.27237778673113083,0.6666666666666666,0.0
IT Software Development,6,0.548941902320001,0.38591576819735923,0.27508833922261483,0.6918311845286059,0.47222222222222227,0.0
Client & Business Dev Support,5,0.520639227638132,0.4161907862271258,0.43718197879858656,0.6517526188557615,0.5333333333333333,0.2
Currency Overlay Services,5,0.3925009920536503,0.0,0.0,0.0,0.0,0.0
General Management,5,0.4736523646986554,0.2832827905840153,0.13251766784452296,0.18366236905721192,0.4,0.0
Execution Desk,5,0.42050099205365027,0.10512524801341257,0.0,0.0,0.16666666666666666,0.0
PERES Operations,5,0.4829560162578523,0.36724339209607526,0.3972614840989399,0.5388195004029008,0.5,0.2
Content,5,0.4383535544898221,0.227139917853954,0.44874558303886924,0.4375302175664787,0.3333333333333333,0.4
Digital Assets,5,0.4135009920536502,0.08375019841073005,0.0,0.0,0.13333333333333333,0.0
ESG,5,0.4000387266790096,0.10041298263877188,0.19432862190812722,0.14832796132151488,0.16666666666666666,0.2
Com General Secretary,5,0.4525085392904139,0.2608812060570804,0.33722614840989396,0.47290491539081386,0.36666666666666664,0.2
Enterprise Risk,5,0.4942647197421575,0.41712167651322646,0.4764575971731449,0.6191982272360999,0.5666666666666667,0.4
Com Digital,4,0.5047411184485162,0.30496190282632774,0.2570671378091872,0.5788930298146655,0.375,0.0
Commodities,4,0.5131967094322702,0.38489753207420263,0.5406029151943463,0.7640511684125705,0.5,0.25
Enterprise Architecture,4,0.5525118881713487,0.41438391612851144,0.33051015901060066,0.7913980660757454,0.5,0.0
Events,4,0.4185358092768327,0.21140160894421198,0.32735203180212014,0.25090652699435934,0.3333333333333333,0.25
MDS Market Data,4,0.47332299581360787,0.3549922468602059,0.5133723498233215,0.5918362207896857,0.5,0.25
IT Payment Services,4,0.41000099205365026,0.07796893601005941,0.0,0.0,0.125,0.0
Group Client KYC,4,0.4618764154873881,0.30383124081028356,0.34481007067137803,0.4833551571313457,0.41666666666666663,0.25
Business Continuity Plan,4,0.5001467637556651,0.37511007281674885,0.6619478798586572,0.8395950846091862,0.5,0.25
PS Forex,3,0.39250099205365024,0.0,0.0,0.0,0.0,0.0
Market Solutions,3,0.5107505866145718,0.46600028097191415,0.37928445229681973,0.6432984152565137,0.611111111111111,0.0
REGULATORY REPORTING,3,0.39250099205365024,0.0,0.0,0.0,0.0,0.0
Supplier Management Office,3,0.39250099205365024,0.0,0.0,0.0,0.0,0.0
DERIVATIVES,3,0.39250099205365024,0.03270841600447086,0.0,0.0,0.05555555555555555,0.0
Entreprise Risk,3,0.39250099205365024,0.0,0.0,0.0,0.0,0.0
3D & Products,3,0.476677477704293,0.2862579429359447,0.16495877502944642,0.2306607574536664,0.3888888888888889,0.0
PS Securities Finance,2,0.5033026939214635,0.2302891484209788,0.0739840989399293,0.37676269137792107,0.25,0.0
